id;label;Lat;Lng;Timezone;search; population 
1692691;Puerto Bello - Philippines;10.9733;124.5351;Asia/Manila;Puerto Bello,Hacienda Porto Bello, Puerto Bello; 2 887,00 
1697769;New Iloilo - Philippines;6.54776;124.78951;Asia/Manila;New Iloilo,New Iloilo; 3 707,00 
1700013;Maydolong - Philippines;11.50021;125.49811;Asia/Manila;Maydolong,Maydolong; 5 492,00 
1701383;Manup - Philippines;11.5315;122.498;Asia/Manila;Manup,Manup; 2 433,00 
1706377;Limao - Philippines;7.07917;125.67361;Asia/Manila;Limao,Limao; 2 123,00 
1712387;Guindapunan - Philippines;11.30278;124.70583;Asia/Manila;Guindapunan,Guindapunan; 2 279,00 
1726670;Barili - Philippines;10.115;123.5103;Asia/Manila;Barili,Barili; 7 588,00 
1180281;Dera Ismail Khan - Pakistan;31.83129;70.9017;Asia/Karachi;Dera Ismail Khan,DSK, Dera Ismail Khan; 101 616,00 
770751;Izbica - Poland;50.88728;23.15248;Europe/Warsaw;Izbica,Izbica, Izbica (Osada); 1 933,00 
3089340;Pawlowice - Poland;49.96127;18.71778;Europe/Warsaw;Pawlowice,; 9 929,00 
